C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
1,3,9,2,2,1,1,1,18,1,0,81,11,1,2,1,8
1,2,17,3,1,2,1,1,18,1,0,40,11,1,2,1,1
11,6,13,3,1,4,5,1,18,1,1,40,11,1,2,1,6
12,6,22,2,1,2,3,1,18,1,1,16,13,1,2,2,14
4,5,11,2,2,1,1,4,18,1,0,29,22,1,13,2,4
9,7,21,2,1,1,1,2,18,1,0,11,23,1,1,2,13
1,5,11,4,1,2,3,1,18,1,1,44,11,1,2,1,3
4,5,8,3,2,1,1,1,18,1,1,34,11,1,2,1,5
9,4,12,2,1,1,1,1,18,1,1,73,11,1,2,1,11
3,4,14,3,1,1,1,1,18,1,0,85,11,1,2,1,1
8,3,23,2,3,1,1,3,3,14,0,17,11,1,9,5,17
12,1,12,2,1,1,5,6,18,1,0,26,13,1,2,2,12
1,2,23,2,3,1,1,1,18,1,1,22,13,1,2,2,6
4,6,12,2,1,1,1,1,18,1,1,61,11,1,1,1,15
7,4,13,4,1,2,1,1,18,1,0,38,11,1,2,1,9
1,5,22,2,1,1,1,1,18,1,1,19,11,1,12,1,11
9,2,16,2,1,1,1,1,18,1,1,83,11,1,2,1,15
11,6,2,2,1,2,5,6,18,1,0,25,11,1,1,1,7
4,1,14,4,1,1,1,1,18,1,1,31,11,1,2,1,10
11,1,18,2,1,4,5,2,18,1,1,71,13,1,2,2,14
4,1,17,2,1,3,2,5,18,1,0,82,11,1,2,1,5
2,6,3,2,1,1,1,1,18,1,0,20,11,1,2,1,15
6,4,2,2,1,3,2,1,18,1,0,22,11,1,2,1,9
8,6,5,3,1,1,1,1,18,1,0,21,11,1,2,1,9
5,2,9,3,2,1,1,1,3,1,0,43,11,1,2,1,1
1,4,8,2,1,1,2,1,18,1,1,19,11,1,2,1,17
